step,time,loss,acc
7200,2025-08-20T02:11:50.409785,1.203817e-02,1.000000e+00
7250,2025-08-20T02:11:59.764325,2.121822e-03,1.000000e+00
7300,2025-08-20T02:12:09.143101,8.339472e-03,1.000000e+00
7350,2025-08-20T02:12:18.492797,4.686005e-02,9.921875e-01
7400,2025-08-20T02:12:28.085278,7.814506e-03,1.000000e+00
7450,2025-08-20T02:12:37.704979,8.192204e-03,1.000000e+00
7500,2025-08-20T02:12:47.125384,9.845472e-02,9.843750e-01
7550,2025-08-20T02:14:42.923766,4.894623e-02,9.921875e-01
7600,2025-08-20T02:14:52.251510,4.332579e-02,9.921875e-01
7650,2025-08-20T02:15:01.696341,4.872444e-02,9.921875e-01
7700,2025-08-20T02:15:11.310692,7.039857e-02,9.765625e-01
7750,2025-08-20T02:15:20.768816,6.235911e-02,9.921875e-01
7800,2025-08-20T02:15:30.113661,1.771758e-03,1.000000e+00
7850,2025-08-20T02:15:39.491011,4.093868e-02,9.921875e-01
7900,2025-08-20T02:15:48.842406,7.126118e-02,9.843750e-01
7950,2025-08-20T02:15:58.528640,3.474358e-02,9.921875e-01
8000,2025-08-20T02:16:08.079279,5.043292e-02,9.921875e-01
8050,2025-08-20T02:18:03.845670,8.942575e-03,1.000000e+00
8100,2025-08-20T02:18:13.183122,1.115435e-02,1.000000e+00
8150,2025-08-20T02:18:22.559151,4.452314e-02,9.921875e-01
8200,2025-08-20T02:18:32.114509,2.041301e-02,9.921875e-01
8250,2025-08-20T02:18:41.878959,6.043592e-03,1.000000e+00
8300,2025-08-20T02:18:51.313116,1.210371e-01,9.687500e-01
8350,2025-08-20T02:19:00.685726,1.223932e-03,1.000000e+00
8400,2025-08-20T02:19:09.998899,4.842836e-03,1.000000e+00
8450,2025-08-20T02:19:19.359617,2.365598e-03,1.000000e+00
8500,2025-08-20T02:19:28.986790,6.904641e-02,9.765625e-01
8550,2025-08-20T02:21:24.978649,4.888200e-02,9.843750e-01
8600,2025-08-20T02:21:34.316886,1.416885e-02,1.000000e+00
8650,2025-08-20T02:21:43.668950,3.747883e-03,1.000000e+00
8700,2025-08-20T02:21:52.941770,1.168520e-01,9.843750e-01
8750,2025-08-20T02:22:02.506985,3.456914e-02,9.921875e-01
8800,2025-08-20T02:22:12.066344,3.072947e-02,9.921875e-01
8850,2025-08-20T02:22:21.445625,4.435764e-03,1.000000e+00
8900,2025-08-20T02:22:30.803212,2.364828e-02,9.921875e-01
8950,2025-08-20T02:22:40.062956,3.315188e-02,9.843750e-01
9000,2025-08-20T02:22:49.472712,1.908915e-03,1.000000e+00
9050,2025-08-20T02:24:45.650642,6.457697e-02,9.843750e-01
9100,2025-08-20T02:24:55.329371,5.907034e-03,1.000000e+00
9150,2025-08-20T02:25:04.622281,3.320057e-02,9.921875e-01
9200,2025-08-20T02:25:13.960605,6.835460e-03,1.000000e+00
9250,2025-08-20T02:25:23.339296,1.008280e-01,9.765625e-01
9300,2025-08-20T02:25:32.864245,6.061065e-03,1.000000e+00
9350,2025-08-20T02:25:42.454995,5.757918e-02,9.921875e-01
9400,2025-08-20T02:25:51.902831,3.959105e-02,9.921875e-01
9450,2025-08-20T02:26:01.251472,2.621350e-03,1.000000e+00
9500,2025-08-20T02:26:10.626260,1.485833e-02,9.921875e-01
9550,2025-08-20T02:28:06.755621,2.348825e-03,1.000000e+00
9600,2025-08-20T02:28:16.302286,4.742634e-02,9.921875e-01
9650,2025-08-20T02:28:25.916613,5.466896e-02,9.843750e-01
9700,2025-08-20T02:28:35.278611,4.632952e-03,1.000000e+00
9750,2025-08-20T02:28:44.566542,6.455585e-02,9.921875e-01
9800,2025-08-20T02:28:53.954963,6.707953e-02,9.843750e-01
9850,2025-08-20T02:29:03.436706,8.608345e-03,1.000000e+00
9900,2025-08-20T02:29:12.983874,7.923198e-03,1.000000e+00
9950,2025-08-20T02:29:22.597978,1.204650e-01,9.765625e-01
10000,2025-08-20T02:29:31.930749,5.464532e-02,9.921875e-01
10050,2025-08-20T02:31:27.968529,3.770398e-02,9.921875e-01
10100,2025-08-20T02:31:37.339156,1.706790e-02,9.921875e-01
10150,2025-08-20T02:31:46.906238,9.414924e-03,1.000000e+00
10200,2025-08-20T02:31:56.609950,4.183830e-02,9.921875e-01
10250,2025-08-20T02:32:05.924602,3.956793e-02,9.921875e-01
10300,2025-08-20T02:32:15.193515,7.738914e-02,9.843750e-01
10350,2025-08-20T02:32:24.514371,9.257104e-03,1.000000e+00
10400,2025-08-20T02:32:34.028091,9.919400e-03,1.000000e+00
10450,2025-08-20T02:32:43.689247,4.411561e-02,9.921875e-01
10500,2025-08-20T02:32:53.095106,2.987299e-02,9.921875e-01
10550,2025-08-20T02:34:49.434479,7.106231e-02,9.843750e-01
10600,2025-08-20T02:34:59.080888,5.114374e-03,1.000000e+00
10650,2025-08-20T02:35:08.800008,3.866745e-02,9.921875e-01
10700,2025-08-20T02:35:18.438320,1.394062e-03,1.000000e+00
10750,2025-08-20T02:35:28.272343,3.959062e-02,9.921875e-01
10800,2025-08-20T02:35:37.919584,5.654030e-02,9.921875e-01
10850,2025-08-20T02:35:48.272353,2.109781e-02,9.921875e-01
10900,2025-08-20T02:35:58.290036,1.050214e-02,1.000000e+00
10950,2025-08-20T02:36:08.493541,5.072704e-03,1.000000e+00
11000,2025-08-20T02:36:18.782240,1.104204e-02,1.000000e+00
11050,2025-08-20T02:38:21.830495,6.613008e-02,9.921875e-01
11100,2025-08-20T02:38:31.873435,5.951568e-03,1.000000e+00
11150,2025-08-20T02:38:41.992393,1.058218e-01,9.843750e-01
11200,2025-08-20T02:38:52.281728,3.093343e-03,1.000000e+00
11250,2025-08-20T02:39:02.469584,6.401749e-03,1.000000e+00
11300,2025-08-20T02:39:12.539485,4.503267e-03,1.000000e+00
11350,2025-08-20T02:39:22.693612,7.596082e-03,1.000000e+00
11400,2025-08-20T02:39:32.684234,9.956498e-03,9.921875e-01
11450,2025-08-20T02:39:43.001401,1.601973e-02,1.000000e+00
11500,2025-08-20T02:39:53.319847,6.421739e-03,1.000000e+00
11550,2025-08-20T02:41:56.676013,3.054823e-02,9.921875e-01
11600,2025-08-20T02:42:06.537489,1.756225e-03,1.000000e+00
11650,2025-08-20T02:42:16.653329,1.629129e-02,1.000000e+00
11700,2025-08-20T02:42:26.864478,6.037937e-02,9.843750e-01
11750,2025-08-20T02:42:37.104945,4.582682e-03,1.000000e+00
11800,2025-08-20T02:42:47.070175,6.095715e-02,9.843750e-01
11850,2025-08-20T02:42:56.998809,7.049083e-03,1.000000e+00
11900,2025-08-20T02:43:07.061455,1.151616e-02,1.000000e+00
11950,2025-08-20T02:43:17.346838,1.014709e-02,1.000000e+00
12000,2025-08-20T02:43:27.611768,7.505852e-02,9.843750e-01
12050,2025-08-20T02:45:30.938055,6.393894e-02,9.765625e-01
12100,2025-08-20T02:45:40.941262,7.531887e-03,1.000000e+00
12150,2025-08-20T02:45:51.024799,7.760308e-03,1.000000e+00
12200,2025-08-20T02:46:01.278703,4.986949e-03,1.000000e+00
12250,2025-08-20T02:46:11.557395,8.755806e-02,9.843750e-01
12300,2025-08-20T02:46:21.491709,5.322569e-03,1.000000e+00
12350,2025-08-20T02:46:31.515844,1.090782e-02,9.921875e-01
12400,2025-08-20T02:46:41.588406,7.283718e-03,1.000000e+00
12450,2025-08-20T02:46:51.903171,2.454454e-03,1.000000e+00
12500,2025-08-20T02:47:02.208450,1.513612e-02,9.921875e-01
12550,2025-08-20T02:49:07.931612,1.377137e-02,9.921875e-01
